step,tokens,train_loss,val_loss,lr,tok_per_sec
2380,623902720,3.4389,,2.499738e-04,50711
2390,626524160,3.4254,,2.499725e-04,50719
2400,629145600,3.3746,,2.499710e-04,50721
2410,631767040,3.4168,,2.499695e-04,50707
2420,634388480,3.4450,,2.499680e-04,50742
2430,637009920,3.4355,,2.499665e-04,50740
2440,639631360,3.4030,,2.499649e-04,50577
2450,642252800,3.3942,,2.499633e-04,50730
2460,644874240,3.4484,,2.499616e-04,50755
2470,647495680,3.4314,,2.499600e-04,50744
2480,650117120,3.4095,,2.499582e-04,50757
2490,652738560,3.4173,,2.499565e-04,50770
2500,655360000,3.3861,,2.499547e-04,50765
2500,655360000,,3.4027,2.499547e-04,
2510,657981440,3.3665,,2.499528e-04,49426
2520,660602880,3.3862,,2.499510e-04,30958
2530,663224320,3.4059,,2.499491e-04,49815
2540,665845760,3.3764,,2.499471e-04,50840
2550,668467200,3.3877,,2.499451e-04,50778
2560,671088640,3.3767,,2.499431e-04,50757
2570,673710080,3.3637,,2.499411e-04,31779
2580,676331520,3.3783,,2.499390e-04,50825
2590,678952960,3.3841,,2.499368e-04,50758
2600,681574400,3.3659,,2.499347e-04,50740
2610,684195840,3.3633,,2.499325e-04,50742
2620,686817280,3.3712,,2.499302e-04,50758
2630,689438720,3.3731,,2.499280e-04,30581
2640,692060160,3.3624,,2.499257e-04,50971
2650,694681600,3.3997,,2.499233e-04,50817
2660,697303040,3.3557,,2.499209e-04,50773
2670,699924480,3.3614,,2.499185e-04,50756
2680,702545920,3.3673,,2.499161e-04,50761
2690,705167360,3.3784,,2.499136e-04,50770
2700,707788800,3.3470,,2.499111e-04,50762
2710,710410240,3.3665,,2.499085e-04,50756
2720,713031680,3.3315,,2.499059e-04,50780
2730,715653120,3.3456,,2.499033e-04,50742
2740,718274560,3.3716,,2.499006e-04,50742
2750,720896000,3.3370,,2.498979e-04,50752
2760,723517440,3.3468,,2.498951e-04,50763
2770,726138880,3.3327,,2.498924e-04,50774
2780,728760320,3.3374,,2.498895e-04,50769
2790,731381760,3.3846,,2.498867e-04,50777
2800,734003200,3.3314,,2.498838e-04,50760
2810,736624640,3.3234,,2.498809e-04,50701
2820,739246080,3.3113,,2.498779e-04,50740
2830,741867520,3.3345,,2.498749e-04,50755
2840,744488960,3.3343,,2.498719e-04,50759
2850,747110400,3.3319,,2.498688e-04,50767
2860,749731840,3.3309,,2.498657e-04,50742
2870,752353280,3.3447,,2.498625e-04,50749
2880,754974720,3.3303,,2.498594e-04,50732
2890,757596160,3.3186,,2.498561e-04,50741
2900,760217600,3.3450,,2.498529e-04,50726
2910,762839040,3.3301,,2.498496e-04,50738
2920,765460480,3.3071,,2.498463e-04,50722
2930,768081920,3.3431,,2.498429e-04,50744
2940,770703360,3.3127,,2.498395e-04,50713
2950,773324800,3.3277,,2.498361e-04,50719
2960,775946240,3.3023,,2.498326e-04,50715
2970,778567680,3.3401,,2.498291e-04,50732
2980,781189120,3.3293,,2.498255e-04,50738
2990,783810560,3.3258,,2.498220e-04,50715
3000,786432000,3.2843,,2.498183e-04,50729
3000,786432000,,3.3199,2.498183e-04,
2010,526909440,4.0758,,2.500000e-04,21090
2020,529530880,3.7534,,2.499999e-04,50841
2030,532152320,3.5816,,2.499998e-04,50743
2040,534773760,3.5230,,2.499997e-04,50700
2050,537395200,3.5448,,2.499996e-04,50718
2060,540016640,3.5249,,2.499994e-04,50705
2070,542638080,3.5090,,2.499991e-04,50689
2080,545259520,3.4767,,2.499989e-04,50716
2090,547880960,3.4751,,2.499986e-04,50703
